ሁ𞟥	U+1201 U+1E7E5
ሁ𞟦	U+1201 U+1E7E6
ሁ𞟨	U+1201 U+1E7E8
ሁ𞟩	U+1201 U+1E7E9
ሁ𞟪	U+1201 U+1E7EA
ሁ𞟫	U+1201 U+1E7EB
ሁ𞟭	U+1201 U+1E7ED
ሁ𞟮	U+1201 U+1E7EE
ሁ𞟰	U+1201 U+1E7F0
ሁ𞟱	U+1201 U+1E7F1
ሁ𞟲	U+1201 U+1E7F2
ሁ𞟳	U+1201 U+1E7F3
ሁ𞟴	U+1201 U+1E7F4
ሁ𞟸	U+1201 U+1E7F8
ሁ𞟹	U+1201 U+1E7F9
ሁ𞟺	U+1201 U+1E7FA
ሁ𞟻	U+1201 U+1E7FB
ሁ𞟼	U+1201 U+1E7FC
ሁ𞟽	U+1201 U+1E7FD
ሁ𞟾	U+1201 U+1E7FE
ሂሀ	U+1202 U+1200
ሂሁ	U+1202 U+1201
ሂሂ	U+1202 U+1202
ሂሃ	U+1202 U+1203
ሂሄ	U+1202 U+1204
ሂሆ	U+1202 U+1206
ሂሐ	U+1202 U+1210
ሂሑ	U+1202 U+1211
ሂሒ	U+1202 U+1212
ሂሔ	U+1202 U+1214
ሂሖ	U+1202 U+1216
ሂሚ	U+1202 U+121A
ሂሠ	U+1202 U+1220
ሂሡ	U+1202 U+1221
ሂሥ	U+1202 U+1225
ሂረ	U+1202 U+1228
ሂሪ	U+1202 U+122A
ሂራ	U+1202 U+122B
ሂሬ	U+1202 U+122C
ሂር	U+1202 U+122D
ሂሮ	U+1202 U+122E
ሂሯ	U+1202 U+122F
ሂሷ	U+1202 U+1237
ሂሿ	U+1202 U+123F
ሂቇ	U+1202 U+1247
ሂቐ	U+1202 U+1250
ሂቑ	U+1202 U+1251
ሂቒ	U+1202 U+1252
ሂቔ	U+1202 U+1254
ሂቕ	U+1202 U+1255
ሂቘ	U+1202 U+1258
ሂቚ	U+1202 U+125A
ሂቝ	U+1202 U+125D
ሂብ	U+1202 U+1265
ሂቧ	U+1202 U+1267
ሂቯ	U+1202 U+126F
ሂት	U+1202 U+1275
ሂቾ	U+1202 U+127E
ሂኃ	U+1202 U+1283
ሂኅ	U+1202 U+1285
ሂኋ	U+1202 U+128B
ሂኗ	U+1202 U+1297
ሂኘ	U+1202 U+1298
ሂኙ	U+1202 U+1299
ሂኚ	U+1202 U+129A
ሂኛ	U+1202 U+129B
ሂኜ	U+1202 U+129C
ሂኞ	U+1202 U+129E
ሂኟ	U+1202 U+129F
ሂአ	U+1202 U+12A0
ሂኡ	U+1202 U+12A1
ሂኢ	U+1202 U+12A2
ሂኣ	U+1202 U+12A3
ሂኤ	U+1202 U+12A4
ሂእ	U+1202 U+12A5
ሂኦ	U+1202 U+12A6
ሂኧ	U+1202 U+12A7
ሂኸ	U+1202 U+12B8
ሂኹ	U+1202 U+12B9
ሂኺ	U+1202 U+12BA
ሂኻ	U+1202 U+12BB
ሂኼ	U+1202 U+12BC
ሂኽ	U+1202 U+12BD
ሂኾ	U+1202 U+12BE
ሂዀ	U+1202 U+12C0
ሂዂ	U+1202 U+12C2
ሂዃ	U+1202 U+12C3
ሂዄ	U+1202 U+12C4
ሂዅ	U+1202 U+12C5
ሂዊ	U+1202 U+12CA
ሂዋ	U+1202 U+12CB
ሂዌ	U+1202 U+12CC
ሂዒ	U+1202 U+12D2
ሂዔ	U+1202 U+12D4
ሂዖ	U+1202 U+12D6
ሂየ	U+1202 U+12E8
ሂዩ	U+1202 U+12E9
ሂዪ	U+1202 U+12EA
ሂዬ	U+1202 U+12EC
ሂይ	U+1202 U+12ED
ሂዮ	U+1202 U+12EE
ሂደ	U+1202 U+12F0
ሂዱ	U+1202 U+12F1
ሂዲ	U+1202 U+12F2
ሂዳ	U+1202 U+12F3
ሂዴ	U+1202 U+12F4
ሂድ	U+1202 U+12F5
ሂዶ	U+1202 U+12F6
ሂዷ	U+1202 U+12F7
ሂዸ	U+1202 U+12F8
ሂዹ	U+1202 U+12F9
ሂዺ	U+1202 U+12FA
ሂዻ	U+1202 U+12FB
ሂዼ	U+1202 U+12FC
ሂዽ	U+1202 U+12FD
ሂዾ	U+1202 U+12FE
ሂዿ	U+1202 U+12FF
ሂጀ	U+1202 U+1300
ሂጁ	U+1202 U+1301
ሂጂ	U+1202 U+1302
ሂጃ	U+1202 U+1303
ሂጄ	U+1202 U+1304
ሂጅ	U+1202 U+1305
ሂጆ	U+1202 U+1306
ሂጇ	U+1202 U+1307
ሂጊ	U+1202 U+130A
ሂጋ	U+1202 U+130B
ሂግ	U+1202 U+130D
ሂጏ	U+1202 U+130F
ሂጔ	U+1202 U+1314
ሂጘ	U+1202 U+1318
ሂጙ	U+1202 U+1319
ሂጚ	U+1202 U+131A
ሂጛ	U+1202 U+131B
ሂጜ	U+1202 U+131C
ሂጟ	U+1202 U+131F
ሂጰ	U+1202 U+1330
ሂጱ	U+1202 U+1331
ሂጲ	U+1202 U+1332
ሂጳ	U+1202 U+1333
ሂጴ	U+1202 U+1334
ሂጵ	U+1202 U+1335
ሂጶ	U+1202 U+1336
ሂጷ	U+1202 U+1337
ሂጸ	U+1202 U+1338
ሂጹ	U+1202 U+1339
ሂጺ	U+1202 U+133A
ሂጻ	U+1202 U+133B
ሂጼ	U+1202 U+133C
ሂጽ	U+1202 U+133D
ሂጾ	U+1202 U+133E
ሂጿ	U+1202 U+133F
ሂፂ	U+1202 U+1342
ሂፃ	U+1202 U+1343
ሂፄ	U+1202 U+1344
ሂፆ	U+1202 U+1346
ሂፈ	U+1202 U+1348
ሂፊ	U+1202 U+134A
ሂፌ	U+1202 U+134C
ሂፎ	U+1202 U+134E
ሂፏ	U+1202 U+134F
ሂፓ	U+1202 U+1353
ሂፖ	U+1202 U+1356
ሂፗ	U+1202 U+1357
ሂፘ	U+1202 U+1358
ሂፚ	U+1202 U+135A
ሂᎈ	U+1202 U+1388
ሂᎉ	U+1202 U+1389
ሂᎊ	U+1202 U+138A
ሂᎎ	U+1202 U+138E
ሂⶇ	U+1202 U+2D87
ሂⶉ	U+1202 U+2D89
ሂⶓ	U+1202 U+2D93
ሂⶔ	U+1202 U+2D94
ሂⶖ	U+1202 U+2D96
ሂⶵ	U+1202 U+2DB5
ሂⷐ	U+1202 U+2DD0
ሂⷑ	U+1202 U+2DD1
ሂⷒ	U+1202 U+2DD2
ሂⷓ	U+1202 U+2DD3
ሂⷔ	U+1202 U+2DD4
ሂⷕ	U+1202 U+2DD5
ሂⷖ	U+1202 U+2DD6
ሂⷛ	U+1202 U+2DDB
ሂⷞ	U+1202 U+2DDE
ሂꬉ	U+1202 U+AB09
ሂꬊ	U+1202 U+AB0A
ሂꬋ	U+1202 U+AB0B
ሂꬌ	U+1202 U+AB0C
ሂꬍ	U+1202 U+AB0D
ሂꬎ	U+1202 U+AB0E
ሂꬨ	U+1202 U+AB28
ሂꬩ	U+1202 U+AB29
ሂꬪ	U+1202 U+AB2A
ሂꬫ	U+1202 U+AB2B
ሂꬬ	U+1202 U+AB2C
ሂꬭ	U+1202 U+AB2D
ሂꬮ	U+1202 U+AB2E
ሂ𞟠	U+1202 U+1E7E0
ሂ𞟡	U+1202 U+1E7E1
ሂ𞟢	U+1202 U+1E7E2
ሂ𞟤	U+1202 U+1E7E4
ሂ𞟥	U+1202 U+1E7E5
ሂ𞟦	U+1202 U+1E7E6
ሂ𞟨	U+1202 U+1E7E8
ሂ𞟩	U+1202 U+1E7E9
ሂ𞟪	U+1202 U+1E7EA
ሂ𞟻	U+1202 U+1E7FB
ሂ𞟼	U+1202 U+1E7FC
ሃሂ	U+1203 U+1202
ሃሃ	U+1203 U+1203
ሃሄ	U+1203 U+1204
ሃህ	U+1203 U+1205
ሃለ	U+1203 U+1208
ሃሉ	U+1203 U+1209
ሃሊ	U+1203 U+120A
ሃሌ	U+1203 U+120C
ሃል	U+1203 U+120D
ሃሎ	U+1203 U+120E
ሃሐ	U+1203 U+1210
ሃሑ	U+1203 U+1211
ሃሒ	U+1203 U+1212
ሃሓ	U+1203 U+1213
ሃሔ	U+1203 U+1214
ሃሖ	U+1203 U+1216
ሃሗ	U+1203 U+1217
ሃረ	U+1203 U+1228
ሃሪ	U+1203 U+122A
ሃራ	U+1203 U+122B
ሃሬ	U+1203 U+122C
ሃቅ	U+1203 U+1245
ሃቐ	U+1203 U+1250
ሃቑ	U+1203 U+1251
ሃቒ	U+1203 U+1252
ሃቔ	U+1203 U+1254
ሃቕ	U+1203 U+1255
ሃቖ	U+1203 U+1256
ሃቘ	U+1203 U+1258
ሃቚ	U+1203 U+125A
ሃቝ	U+1203 U+125D
ሃብ	U+1203 U+1265
ሃቭ	U+1203 U+126D
ሃት	U+1203 U+1275
ሃች	U+1203 U+127D
ሃቾ	U+1203 U+127E
ሃኀ	U+1203 U+1280
ሃኁ	U+1203 U+1281
ሃኂ	U+1203 U+1282
ሃኃ	U+1203 U+1283
ሃኄ	U+1203 U+1284
ሃኈ	U+1203 U+1288
ሃኊ	U+1203 U+128A
ሃኋ	U+1203 U+128B
ሃኌ	U+1203 U+128C
ሃኍ	U+1203 U+128D
ሃነ	U+1203 U+1290
ሃኑ	U+1203 U+1291
ሃኒ	U+1203 U+1292
ሃኔ	U+1203 U+1294
ሃን	U+1203 U+1295
ሃኘ	U+1203 U+1298
ሃኙ	U+1203 U+1299
ሃኚ	U+1203 U+129A
ሃኛ	U+1203 U+129B
ሃኜ	U+1203 U+129C
ሃኝ	U+1203 U+129D
ሃኞ	U+1203 U+129E
ሃኟ	U+1203 U+129F
ሃአ	U+1203 U+12A0
ሃኡ	U+1203 U+12A1
ሃኢ	U+1203 U+12A2
ሃኣ	U+1203 U+12A3
ሃኤ	U+1203 U+12A4
ሃእ	U+1203 U+12A5
ሃኦ	U+1203 U+12A6
ሃኧ	U+1203 U+12A7
ሃኸ	U+1203 U+12B8
ሃኹ	U+1203 U+12B9
ሃኺ	U+1203 U+12BA
ሃኻ	U+1203 U+12BB
ሃኼ	U+1203 U+12BC
ሃኽ	U+1203 U+12BD
ሃኾ	U+1203 U+12BE
ሃዀ	U+1203 U+12C0
ሃዂ	U+1203 U+12C2
ሃዃ	U+1203 U+12C3
ሃዄ	U+1203 U+12C4
ሃዅ	U+1203 U+12C5
ሃዒ	U+1203 U+12D2
ሃዓ	U+1203 U+12D3
ሃዔ	U+1203 U+12D4
ሃዝ	U+1203 U+12DD
ሃዠ	U+1203 U+12E0
ሃዡ	U+1203 U+12E1
ሃዢ	U+1203 U+12E2
ሃዣ	U+1203 U+12E3
ሃዤ	U+1203 U+12E4
ሃዥ	U+1203 U+12E5
ሃዦ	U+1203 U+12E6
ሃዧ	U+1203 U+12E7
ሃዴ	U+1203 U+12F4
ሃዶ	U+1203 U+12F6
ሃዼ	U+1203 U+12FC
ሃዾ	U+1203 U+12FE
ሃገ	U+1203 U+1308
ሃጉ	U+1203 U+1309
ሃጊ	U+1203 U+130A
ሃጋ	U+1203 U+130B
ሃጌ	U+1203 U+130C
ሃግ	U+1203 U+130D
ሃጎ	U+1203 U+130E
ሃጐ	U+1203 U+1310
ሃጒ	U+1203 U+1312
ሃጓ	U+1203 U+1313
ሃጔ	U+1203 U+1314
ሃጕ	U+1203 U+1315
ሃጘ	U+1203 U+1318
ሃጙ	U+1203 U+1319
ሃጚ	U+1203 U+131A
ሃጛ	U+1203 U+131B
ሃጜ	U+1203 U+131C
ሃጝ	U+1203 U+131D
ሃጞ	U+1203 U+131E
ሃጟ	U+1203 U+131F
ሃፂ	U+1203 U+1342
ሃፃ	U+1203 U+1343
ሃፄ	U+1203 U+1344
ሃፇ	U+1203 U+1347
ሃፈ	U+1203 U+1348
ሃፊ	U+1203 U+134A
ሃፌ	U+1203 U+134C
ሃፐ	U+1203 U+1350
ሃፑ	U+1203 U+1351
ሃፒ	U+1203 U+1352
ሃፓ	U+1203 U+1353
ሃፔ	U+1203 U+1354
ሃፖ	U+1203 U+1356
ሃፗ	U+1203 U+1357
ሃᎇ	U+1203 U+1387
ሃᎈ	U+1203 U+1388
ሃᎉ	U+1203 U+1389
ሃᎌ	U+1203 U+138C
ሃᎍ	U+1203 U+138D
ሃᎎ	U+1203 U+138E
ሃⶄ	U+1203 U+2D84
ሃⶅ	U+1203 U+2D85
ሃⶇ	U+1203 U+2D87
ሃⶌ	U+1203 U+2D8C
ሃⶍ	U+1203 U+2D8D
ሃⶏ	U+1203 U+2D8F
ሃⶐ	U+1203 U+2D90
ሃⶓ	U+1203 U+2D93
